temperature,magnetization,mag error,specific heat,sp.heat error,mag susceptibility,suscep error
2.1,0.8695587426686217,0.021416038402087577,0.9342874608284666,0.033832171271685876,0.8945794698285594,0.04052283265862201
2.12,0.8565263583607231,0.025041497768204492,1.0179295841060993,0.04079600088921944,1.2115593379743552,0.06950838142607715
2.14,0.8434502908021775,0.027925328511174876,1.0949967979100825,0.04478226488383819,1.49259765943196,0.08278991207725055
2.16,0.8279288870389344,0.03272192459853372,1.1940278764463939,0.05165382676264964,2.0304106181825956,0.13369211631788214
2.18,0.807069215862651,0.04478258197339177,1.2994700350329333,0.05165832055678437,3.768093871120014,0.4759523633238282
2.2,0.7859082577833488,0.04694409349138282,1.3918963889898066,0.059865107116374605,4.1029779339222925,0.2753154403347303
2.22,0.7549522957571928,0.05950217670291536,1.5772397035040844,0.06186887370706025,6.532398647139186,0.4154566052751106
2.24,0.7036066939818718,0.11992985638596786,2.098814836753256,0.12012276721844628,26.300654542187676,3.3920335942208197
2.26,0.6488289388020834,0.12762638349911334,2.110569759453847,0.07244049807002512,29.521093124644704,1.770629736646858
2.28,0.5274854335281774,0.19455221402845324,2.35750843752882,0.15106223254376608,67.99820617363861,4.888120623081403
2.3,0.4069440399615073,0.2056692217699709,2.070611629888228,0.10502417393605515,75.33047769438025,2.9503652606229798
2.32,0.3070162668321545,0.1934169118660128,1.8518909410708242,0.08748141979197237,66.04817972221346,2.1483252026769306
2.34,0.2673197124727923,0.17197849647345592,1.5468388078421131,0.05669510093368108,51.7716952602615,1.338519688365048
2.36,0.223645305836887,0.14652449572010368,1.293078518184315,0.05140973710922504,37.26219341412783,1.1920282134193596
2.38,0.18545246412386707,0.1267159091717462,1.243495961341678,0.04893065467692923,27.634097069774054,0.9604171016834244
2.4,0.15526198527452026,0.11365979912540769,1.0876565675977823,0.05022283348607778,22.047658559535837,1.0071173241652953
2.42,0.13983896088752665,0.1043570108193974,1.0268328545751018,0.03864181351712229,18.43265283327548,0.7666545818661717
2.44,0.12848780997356965,0.09197412634386339,1.0508160948204919,0.03646864723996508,14.20042897494779,0.5341076396857665
2.46,0.11783866822997667,0.08724035864813291,1.0100589689463129,0.0409324635414119,12.672424880169391,0.5624367014632043
2.48,0.10582446306414357,0.07948753114754661,0.9266008163729738,0.0376178121919296,10.435332307294464,0.47146610359715196
